question,choices,pct_voters,Trump,Biden,state,q_id,abbrev,votes,lat,lon
How serious a problem is racism in policing?,Less serious,0.71,80,18,idaho,12,ID,4,44.3509,-114.613
"In general, would you say police in this country are too tough, not tough enough or about right in handling of crime?",Too tough,0.26,,,idaho,34,ID,4,44.3509,-114.613
"In general, would you say police in this country are too tough, not tough enough or about right in handling of crime?",Not tough enough,0.33,,,idaho,34,ID,4,44.3509,-114.613
"In general, would you say police in this country are too tough, not tough enough or about right in handling of crime?",About right,0.39,,,idaho,34,ID,4,44.3509,-114.613
Which best describes your feelings about the way the federal government is working?,Enthusiastic or satisfied,0.24,,,idaho,35,ID,4,44.3509,-114.613
Which best describes your feelings about the way the federal government is working?,Dissatisfied or angry,0.76,,,idaho,35,ID,4,44.3509,-114.613
"Do you describe yourself as a man, a woman, or in some other way?",Men,0.47,46,52,illinois,1,IL,20,40.0417,-89.1965
"Do you describe yourself as a man, a woman, or in some other way?",Women,0.53,36,63,illinois,1,IL,20,40.0417,-89.1965
"Do you describe yourself as a man, a woman, or in some other way?",Some other way,0.01,,,illinois,1,IL,20,40.0417,-89.1965
What is your age?,18-29,0.12,34,61,illinois,2,IL,20,40.0417,-89.1965
What is your age?,30-44,0.24,35,63,illinois,2,IL,20,40.0417,-89.1965
What is your age?,45-64,0.37,45,53,illinois,2,IL,20,40.0417,-89.1965
What is your age?,65+,0.27,41,57,illinois,2,IL,20,40.0417,-89.1965
Which best describes your level of education?,High school or less,0.24,44,54,illinois,3,IL,20,40.0417,-89.1965
Which best describes your level of education?,"Some college, or associate degree",0.33,44,53,illinois,3,IL,20,40.0417,-89.1965
Which best describes your level of education?,College graduate,0.26,38,61,illinois,3,IL,20,40.0417,-89.1965
Which best describes your level of education?,Postgraduate study,0.16,32,67,illinois,3,IL,20,40.0417,-89.1965
"What is your present religion, if any?",Protestant,0.23,50,48,illinois,4,IL,20,40.0417,-89.1965
"What is your present religion, if any?",Catholic,0.29,48,51,illinois,4,IL,20,40.0417,-89.1965
"What is your present religion, if any?",Mormon,0,,,illinois,4,IL,20,40.0417,-89.1965
"What is your present religion, if any?",Other Christian,0.15,42,55,illinois,4,IL,20,40.0417,-89.1965
"What is your present religion, if any?",Jewish,0.03,20,77,illinois,4,IL,20,40.0417,-89.1965
"What is your present religion, if any?",Muslim,0.01,,,illinois,4,IL,20,40.0417,-89.1965
"What is your present religion, if any?",Something else,0.08,30,67,illinois,4,IL,20,40.0417,-89.1965
"What is your present religion, if any?",None,0.21,25,73,illinois,4,IL,20,40.0417,-89.1965
What was your total household income in 2019?,"Under $25,000",0.15,36,61,illinois,6,IL,20,40.0417,-89.1965
What was your total household income in 2019?,"$25,000-$49,999",0.23,38,61,illinois,6,IL,20,40.0417,-89.1965
What was your total household income in 2019?,"$50,000-$74,999",0.21,45,53,illinois,6,IL,20,40.0417,-89.1965
What was your total household income in 2019?,"$75,000-$99,999",0.16,45,54,illinois,6,IL,20,40.0417,-89.1965
What was your total household income in 2019?,"$100,000 or more",0.25,38,59,illinois,6,IL,20,40.0417,-89.1965
When did you vote?,Election Day,0.28,64,34,illinois,7,IL,20,40.0417,-89.1965
When did you vote?,Early or absentee,0.72,31,67,illinois,7,IL,20,40.0417,-89.1965
Do you have a close friend or family member who has died from the coronavirus?,Yes,0.16,27,72,illinois,8,IL,20,40.0417,-89.1965
Do you have a close friend or family member who has died from the coronavirus?,No,0.84,45,53,illinois,8,IL,20,40.0417,-89.1965
Do you think the condition of the nation’s economy is:,Excellent or good,0.35,77,22,illinois,9,IL,20,40.0417,-89.1965
Do you think the condition of the nation’s economy is:,Not so good or poor,0.65,21,77,illinois,9,IL,20,40.0417,-89.1965
Do you think the coronavirus in the United States is:,At least somewhat under control,0.42,77,21,illinois,10,IL,20,40.0417,-89.1965
Do you think the coronavirus in the United States is:,Not at all under control,0.58,14,84,illinois,10,IL,20,40.0417,-89.1965
How serious a problem is racism in U.S. society?,Very or somewhat serious,0.78,28,70,illinois,11,IL,20,40.0417,-89.1965
How serious a problem is racism in U.S. society?,Not too or not at all serious,0.22,86,12,illinois,11,IL,20,40.0417,-89.1965
How serious a problem is racism in policing?,Very or somewhat serious,0.74,26,73,illinois,12,IL,20,40.0417,-89.1965
How serious a problem is racism in policing?,Not too or not at all serious,0.24,85,13,illinois,12,IL,20,40.0417,-89.1965
"Thinking about the criminal justice system in the United States, would you say it:",Needs a complete overhaul or major changes,0.71,30,68,illinois,13,IL,20,40.0417,-89.1965
"Thinking about the criminal justice system in the United States, would you say it:",Needs minor changes or no changes,0.28,69,29,illinois,13,IL,20,40.0417,-89.1965
"In general, how concerned are you about the effects of climate change?",Very or somewhat concerned,0.73,21,77,illinois,14,IL,20,40.0417,-89.1965
"In general, how concerned are you about the effects of climate change?",Not too or not at all concerned,0.27,86,13,illinois,14,IL,20,40.0417,-89.1965
Should gun laws in the U.S. be made:,More strict,0.63,15,85,illinois,15,IL,20,40.0417,-89.1965
Should gun laws in the U.S. be made:,Less strict,0.11,,,illinois,15,IL,20,40.0417,-89.1965
Should gun laws in the U.S. be made:,Kept as they are,0.26,76,21,illinois,15,IL,20,40.0417,-89.1965
How old are you? And what is your gender?,18-29 men,0.05,43,50,illinois,16,IL,20,40.0417,-89.1965
How old are you? And what is your gender?,18-29 women,0.07,29,68,illinois,16,IL,20,40.0417,-89.1965
How old are you? And what is your gender?,30-44 men,0.11,38,59,illinois,16,IL,20,40.0417,-89.1965
How old are you? And what is your gender?,30-44 women,0.12,33,66,illinois,16,IL,20,40.0417,-89.1965
How old are you? And what is your gender?,45-64 men,0.19,49,49,illinois,16,IL,20,40.0417,-89.1965
How old are you? And what is your gender?,45-64 women,0.19,41,58,illinois,16,IL,20,40.0417,-89.1965
How old are you? And what is your gender?,65+ men,0.12,48,50,illinois,16,IL,20,40.0417,-89.1965
How old are you? And what is your gender?,65+ women,0.15,36,63,illinois,16,IL,20,40.0417,-89.1965
How old are you? And what is your gender?,All others,0.01,,,illinois,16,IL,20,40.0417,-89.1965
What is your racial or ethnic heritage?,White,0.75,49,50,illinois,17,IL,20,40.0417,-89.1965
What is your racial or ethnic heritage?,African-American or Black,0.13,6,93,illinois,17,IL,20,40.0417,-89.1965
What is your racial or ethnic heritage?,Latino or Hispanic,0.08,27,70,illinois,17,IL,20,40.0417,-89.1965
What is your racial or ethnic heritage?,Other,0.04,31,65,illinois,17,IL,20,40.0417,-89.1965
What is your racial or ethnic heritage?,White,0.75,49,50,illinois,18,IL,20,40.0417,-89.1965
What is your racial or ethnic heritage?,Nonwhite,0.25,17,81,illinois,18,IL,20,40.0417,-89.1965
What is your racial or ethnic heritage? And what is your gender?,White men,0.36,53,45,illinois,19,IL,20,40.0417,-89.1965
What is your racial or ethnic heritage? And what is your gender?,White women,0.39,45,54,illinois,19,IL,20,40.0417,-89.1965
What is your racial or ethnic heritage? And what is your gender?,Nonwhite men,0.11,23,75,illinois,19,IL,20,40.0417,-89.1965
What is your racial or ethnic heritage? And what is your gender?,Nonwhite women,0.14,13,86,illinois,19,IL,20,40.0417,-89.1965
What is your racial or ethnic heritage? And what is your gender?,All others,0.01,,,illinois,19,IL,20,40.0417,-89.1965
What is your racial or ethnic heritage? And how old are you?,White 18-44,0.25,42,55,illinois,20,IL,20,40.0417,-89.1965
What is your racial or ethnic heritage? And how old are you?,White 45+,0.5,52,47,illinois,20,IL,20,40.0417,-89.1965
What is your racial or ethnic heritage? And how old are you?,Nonwhite 18-44,0.11,17,80,illinois,20,IL,20,40.0417,-89.1965
What is your racial or ethnic heritage? And how old are you?,Nonwhite 45+,0.15,17,82,illinois,20,IL,20,40.0417,-89.1965
Would you describe yourself as a white evangelical or white born-again Christian?,White evangelical/white born-again Christians,0.17,71,26,illinois,5,IL,20,40.0417,-89.1965
Would you describe yourself as a white evangelical or white born-again Christian?,All others,0.83,38,60,illinois,5,IL,20,40.0417,-89.1965
"How often, if at all, do you attend religious services?",At least monthly,0.34,52,45,illinois,21,IL,20,40.0417,-89.1965
"How often, if at all, do you attend religious services?",Less often,0.66,36,63,illinois,21,IL,20,40.0417,-89.1965
Marital Status,Married,0.54,44,54,illinois,22,IL,20,40.0417,-89.1965
Marital Status,Not married,0.46,38,60,illinois,22,IL,20,40.0417,-89.1965
Are you married? What is your gender?,Married men,0.25,41,56,illinois,23,IL,20,40.0417,-89.1965
Are you married? What is your gender?,Married women,0.29,47,52,illinois,23,IL,20,40.0417,-89.1965
Are you married? What is your gender?,Not married men,0.19,44,54,illinois,23,IL,20,40.0417,-89.1965
Are you married? What is your gender?,Not married women,0.27,34,65,illinois,23,IL,20,40.0417,-89.1965
What is your gender and level of education?,Noncollege graduate men,0.26,48,49,illinois,24,IL,20,40.0417,-89.1965
What is your gender and level of education?,College graduate men,0.2,43,55,illinois,24,IL,20,40.0417,-89.1965
What is your gender and level of education?,Noncollege graduate women,0.31,41,57,illinois,24,IL,20,40.0417,-89.1965
What is your gender and level of education?,College graduate women,0.22,29,70,illinois,24,IL,20,40.0417,-89.1965
What is your gender and level of education?,All others,0.01,,,illinois,24,IL,20,40.0417,-89.1965
What is your racial or ethnic heritage and level of education?,White noncollege,0.41,55,42,illinois,25,IL,20,40.0417,-89.1965
What is your racial or ethnic heritage and level of education?,White college,0.34,40,58,illinois,25,IL,20,40.0417,-89.1965
What is your racial or ethnic heritage and level of education?,Nonwhite noncollege,0.16,17,80,illinois,25,IL,20,40.0417,-89.1965
What is your racial or ethnic heritage and level of education?,Nonwhite college,0.09,16,81,illinois,25,IL,20,40.0417,-89.1965
What is your age and education level?,Noncollege 18-44,0.19,39,57,illinois,26,IL,20,40.0417,-89.1965
What is your age and education level?,College 18-44,0.17,30,68,illinois,26,IL,20,40.0417,-89.1965
What is your age and education level?,College 45+,0.39,47,52,illinois,26,IL,20,40.0417,-89.1965
What is your age and education level?,Noncollege 45+,0.26,39,60,illinois,26,IL,20,40.0417,-89.1965
Which of the following best describes the area where you live?,Urban,0.24,26,72,illinois,27,IL,20,40.0417,-89.1965
Which of the following best describes the area where you live?,Suburban,0.49,37,61,illinois,27,IL,20,40.0417,-89.1965
Which of the following best describes the area where you live?,Small town or rural,0.26,60,37,illinois,27,IL,20,40.0417,-89.1965
What is your gender? And the size of the place where you live?,Urban men,0.12,33,66,illinois,28,IL,20,40.0417,-89.1965
What is your gender? And the size of the place where you live?,Suburban men,0.22,42,55,illinois,28,IL,20,40.0417,-89.1965
What is your gender? And the size of the place where you live?,Small town/Rural men,0.13,65,32,illinois,28,IL,20,40.0417,-89.1965
What is your gender? And the size of the place where you live?,Urban women,0.13,20,78,illinois,28,IL,20,40.0417,-89.1965
What is your gender? And the size of the place where you live?,Suburban women,0.27,34,65,illinois,28,IL,20,40.0417,-89.1965
What is your gender? And the size of the place where you live?,Small town or rural women,0.13,56,42,illinois,28,IL,20,40.0417,-89.1965
What is your gender? And the size of the place where you live?,All others,0.01,,,illinois,28,IL,20,40.0417,-89.1965
What is your racial or ethnic heritage? And the size of the place where you live?,White urban,0.15,36,63,illinois,29,IL,20,40.0417,-89.1965
What is your racial or ethnic heritage? And the size of the place where you live?,White suburban,0.37,44,55,illinois,29,IL,20,40.0417,-89.1965
What is your racial or ethnic heritage? And the size of the place where you live?,White small town or rural,0.23,64,33,illinois,29,IL,20,40.0417,-89.1965
What is your racial or ethnic heritage? And the size of the place where you live?,Nonwhite urban,0.1,12,87,illinois,29,IL,20,40.0417,-89.1965
What is your racial or ethnic heritage? And the size of the place where you live?,Nonwhite suburban,0.12,18,80,illinois,29,IL,20,40.0417,-89.1965
What is your racial or ethnic heritage? And the size of the place where you live?,Nonwhite small town or rural,0.03,,,illinois,29,IL,20,40.0417,-89.1965
What describes the area where you live? And what is your level of education?,Urban college,0.11,25,75,illinois,30,IL,20,40.0417,-89.1965
What describes the area where you live? And what is your level of education?,Suburban college,0.24,34,64,illinois,30,IL,20,40.0417,-89.1965
What describes the area where you live? And what is your level of education?,Small town or rural college,0.07,56,43,illinois,30,IL,20,40.0417,-89.1965
What describes the area where you live? And what is your level of education?,Urban noncollege,0.13,27,70,illinois,30,IL,20,40.0417,-89.1965
What describes the area where you live? And what is your level of education?,Suburban noncollege,0.26,40,58,illinois,30,IL,20,40.0417,-89.1965
What describes the area where you live? And what is your level of education?,Small town or rural noncollege,0.19,62,35,illinois,30,IL,20,40.0417,-89.1965
"Do you or does any other member of your household own a handgun, rifle, shotgun, or any other kind of firearm?",Gun in household,0.3,61,37,illinois,31,IL,20,40.0417,-89.1965
"Do you or does any other member of your household own a handgun, rifle, shotgun, or any other kind of firearm?",No gun in household,0.7,28,70,illinois,31,IL,20,40.0417,-89.1965
"Have you, or has any member of your household, ever served in the U.S. military?",Veteran household,0.22,48,48,illinois,32,IL,20,40.0417,-89.1965
"Have you, or has any member of your household, ever served in the U.S. military?",Nonveteran household,0.78,36,63,illinois,32,IL,20,40.0417,-89.1965
Which best describes your family's financial situation? Are you...,Getting ahead,0.08,,,illinois,33,IL,20,40.0417,-89.1965
Which best describes your family's financial situation? Are you...,Holding steady,0.7,42,56,illinois,33,IL,20,40.0417,-89.1965
Which best describes your family's financial situation? Are you...,Falling behind,0.22,35,63,illinois,33,IL,20,40.0417,-89.1965
How serious a problem is racism in U.S. society?,Very serious,0.5,17,82,illinois,11,IL,20,40.0417,-89.1965
How serious a problem is racism in U.S. society?,Less serious,0.5,64,33,illinois,11,IL,20,40.0417,-89.1965
How serious a problem is racism in policing?,Very serious,0.46,13,85,illinois,12,IL,20,40.0417,-89.1965
How serious a problem is racism in policing?,Less serious,0.51,64,33,illinois,12,IL,20,40.0417,-89.1965
"In general, would you say police in this country are too tough, not tough enough or about right in handling of crime?",Too tough,0.31,11,86,illinois,34,IL,20,40.0417,-89.1965
"In general, would you say police in this country are too tough, not tough enough or about right in handling of crime?",Not tough enough,0.3,60,39,illinois,34,IL,20,40.0417,-89.1965
"In general, would you say police in this country are too tough, not tough enough or about right in handling of crime?",About right,0.37,52,46,illinois,34,IL,20,40.0417,-89.1965
Which best describes your feelings about the way the federal government is working?,Enthusiastic or satisfied,0.22,83,16,illinois,35,IL,20,40.0417,-89.1965
Which best describes your feelings about the way the federal government is working?,Dissatisfied or angry,0.78,31,67,illinois,35,IL,20,40.0417,-89.1965
"Do you describe yourself as a man, a woman, or in some other way?",Men,0.47,59,38,indiana,1,IN,11,39.8942,-86.2816
"Do you describe yourself as a man, a woman, or in some other way?",Women,0.52,55,43,indiana,1,IN,11,39.8942,-86.2816
"Do you describe yourself as a man, a woman, or in some other way?",Some other way,0.01,,,indiana,1,IN,11,39.8942,-86.2816
What is your age?,18-29,0.13,51,45,indiana,2,IN,11,39.8942,-86.2816
What is your age?,30-44,0.24,50,47,indiana,2,IN,11,39.8942,-86.2816
What is your age?,45-64,0.37,63,35,indiana,2,IN,11,39.8942,-86.2816
What is your age?,65+,0.27,57,41,indiana,2,IN,11,39.8942,-86.2816
Which best describes your level of education?,High school or less,0.34,62,37,indiana,3,IN,11,39.8942,-86.2816
Which best describes your level of education?,"Some college, or associate degree",0.34,59,39,indiana,3,IN,11,39.8942,-86.2816
Which best describes your level of education?,College graduate,0.21,51,45,indiana,3,IN,11,39.8942,-86.2816
Which best describes your level of education?,Postgraduate study,0.11,46,48,indiana,3,IN,11,39.8942,-86.2816
"What is your present religion, if any?",Protestant,0.31,64,33,indiana,4,IN,11,39.8942,-86.2816
"What is your present religion, if any?",Catholic,0.16,60,36,indiana,4,IN,11,39.8942,-86.2816
"What is your present religion, if any?",Mormon,0.01,,,indiana,4,IN,11,39.8942,-86.2816
"What is your present religion, if any?",Other Christian,0.23,66,33,indiana,4,IN,11,39.8942,-86.2816
"What is your present religion, if any?",Jewish,0.01,,,indiana,4,IN,11,39.8942,-86.2816
"What is your present religion, if any?",Muslim,0,,,indiana,4,IN,11,39.8942,-86.2816
"What is your present religion, if any?",Something else,0.07,47,51,indiana,4,IN,11,39.8942,-86.2816
"What is your present religion, if any?",None,0.2,37,61,indiana,4,IN,11,39.8942,-86.2816
What was your total household income in 2019?,"Under $25,000",0.16,52,47,indiana,6,IN,11,39.8942,-86.2816
What was your total household income in 2019?,"$25,000-$49,999",0.25,55,42,indiana,6,IN,11,39.8942,-86.2816
What was your total household income in 2019?,"$50,000-$74,999",0.24,60,38,indiana,6,IN,11,39.8942,-86.2816
What was your total household income in 2019?,"$75,000-$99,999",0.17,60,37,indiana,6,IN,11,39.8942,-86.2816
What was your total household income in 2019?,"$100,000 or more",0.17,56,41,indiana,6,IN,11,39.8942,-86.2816
When did you vote?,Election Day,0.34,68,30,indiana,7,IN,11,39.8942,-86.2816
When did you vote?,Early or absentee,0.66,51,47,indiana,7,IN,11,39.8942,-86.2816
Do you have a close friend or family member who has died from the coronavirus?,Yes,0.15,,,indiana,8,IN,11,39.8942,-86.2816
Do you have a close friend or family member who has died from the coronavirus?,No,0.85,56,42,indiana,8,IN,11,39.8942,-86.2816
Do you think the condition of the nation’s economy is:,Excellent or good,0.49,85,13,indiana,9,IN,11,39.8942,-86.2816
Do you think the condition of the nation’s economy is:,Not so good or poor,0.51,29,68,indiana,9,IN,11,39.8942,-86.2816
Do you think the coronavirus in the United States is:,At least somewhat under control,0.53,85,12,indiana,10,IN,11,39.8942,-86.2816
Do you think the coronavirus in the United States is:,Not at all under control,0.46,24,74,indiana,10,IN,11,39.8942,-86.2816
How serious a problem is racism in U.S. society?,Very or somewhat serious,0.72,44,54,indiana,11,IN,11,39.8942,-86.2816
How serious a problem is racism in U.S. society?,Not too or not at all serious,0.27,91,6,indiana,11,IN,11,39.8942,-86.2816
How serious a problem is racism in policing?,Very or somewhat serious,0.67,42,56,indiana,12,IN,11,39.8942,-86.2816
How serious a problem is racism in policing?,Not too or not at all serious,0.31,90,7,indiana,12,IN,11,39.8942,-86.2816
"Thinking about the criminal justice system in the United States, would you say it:",Needs a complete overhaul or major changes,0.66,47,51,indiana,13,IN,11,39.8942,-86.2816
"Thinking about the criminal justice system in the United States, would you say it:",Needs minor changes or no changes,0.34,75,22,indiana,13,IN,11,39.8942,-86.2816
"In general, how concerned are you about the effects of climate change?",Very or somewhat concerned,0.62,41,57,indiana,14,IN,11,39.8942,-86.2816
"In general, how concerned are you about the effects of climate change?",Not too or not at all concerned,0.38,87,7,indiana,14,IN,11,39.8942,-86.2816
Should gun laws in the U.S. be made:,More strict,0.44,30,70,indiana,15,IN,11,39.8942,-86.2816
Should gun laws in the U.S. be made:,Less strict,0.12,,,indiana,15,IN,11,39.8942,-86.2816
Should gun laws in the U.S. be made:,Kept as they are,0.43,80,15,indiana,15,IN,11,39.8942,-86.2816
How old are you? And what is your gender?,18-29 men,0.06,,,indiana,16,IN,11,39.8942,-86.2816
How old are you? And what is your gender?,18-29 women,0.07,50,47,indiana,16,IN,11,39.8942,-86.2816
How old are you? And what is your gender?,30-44 men,0.11,51,46,indiana,16,IN,11,39.8942,-86.2816
How old are you? And what is your gender?,30-44 women,0.12,49,48,indiana,16,IN,11,39.8942,-86.2816
How old are you? And what is your gender?,45-64 men,0.18,65,32,indiana,16,IN,11,39.8942,-86.2816
How old are you? And what is your gender?,45-64 women,0.19,61,38,indiana,16,IN,11,39.8942,-86.2816
How old are you? And what is your gender?,65+ men,0.12,61,37,indiana,16,IN,11,39.8942,-86.2816
How old are you? And what is your gender?,65+ women,0.15,54,44,indiana,16,IN,11,39.8942,-86.2816
How old are you? And what is your gender?,All others,0.01,,,indiana,16,IN,11,39.8942,-86.2816
What is your racial or ethnic heritage?,White,0.87,61,36,indiana,17,IN,11,39.8942,-86.2816
What is your racial or ethnic heritage?,African-American or Black,0.09,10,89,indiana,17,IN,11,39.8942,-86.2816
What is your racial or ethnic heritage?,Latino or Hispanic,0.03,,,indiana,17,IN,11,39.8942,-86.2816
What is your racial or ethnic heritage?,Other,0.02,49,47,indiana,17,IN,11,39.8942,-86.2816
What is your racial or ethnic heritage?,White,0.87,61,36,indiana,18,IN,11,39.8942,-86.2816
What is your racial or ethnic heritage?,Nonwhite,0.13,27,72,indiana,18,IN,11,39.8942,-86.2816
What is your racial or ethnic heritage? And what is your gender?,White men,0.41,63,34,indiana,19,IN,11,39.8942,-86.2816
What is your racial or ethnic heritage? And what is your gender?,White women,0.45,60,37,indiana,19,IN,11,39.8942,-86.2816
What is your racial or ethnic heritage? And what is your gender?,Nonwhite men,0.06,34,64,indiana,19,IN,11,39.8942,-86.2816
What is your racial or ethnic heritage? And what is your gender?,Nonwhite women,0.07,20,80,indiana,19,IN,11,39.8942,-86.2816
What is your racial or ethnic heritage? And what is your gender?,All others,0.01,,,indiana,19,IN,11,39.8942,-86.2816
What is your racial or ethnic heritage? And how old are you?,White 18-44,0.3,55,41,indiana,20,IN,11,39.8942,-86.2816
What is your racial or ethnic heritage? And how old are you?,White 45+,0.56,65,33,indiana,20,IN,11,39.8942,-86.2816
What is your racial or ethnic heritage? And how old are you?,Nonwhite 18-44,0.06,27,71,indiana,20,IN,11,39.8942,-86.2816
What is your racial or ethnic heritage? And how old are you?,Nonwhite 45+,0.07,27,73,indiana,20,IN,11,39.8942,-86.2816
Would you describe yourself as a white evangelical or white born-again Christian?,White evangelical/white born-again Christians,0.29,81,17,indiana,5,IN,11,39.8942,-86.2816
Would you describe yourself as a white evangelical or white born-again Christian?,All others,0.71,50,48,indiana,5,IN,11,39.8942,-86.2816
"How often, if at all, do you attend religious services?",At least monthly,0.41,62,36,indiana,21,IN,11,39.8942,-86.2816
"How often, if at all, do you attend religious services?",Less often,0.59,54,45,indiana,21,IN,11,39.8942,-86.2816
Marital Status,Married,0.59,65,33,indiana,22,IN,11,39.8942,-86.2816
Marital Status,Not married,0.41,45,52,indiana,22,IN,11,39.8942,-86.2816
Are you married? What is your gender?,Married men,0.29,68,30,indiana,23,IN,11,39.8942,-86.2816
Are you married? What is your gender?,Married women,0.31,62,36,indiana,23,IN,11,39.8942,-86.2816
Are you married? What is your gender?,Not married men,0.19,,,indiana,23,IN,11,39.8942,-86.2816
Are you married? What is your gender?,Not married women,0.22,48,49,indiana,23,IN,11,39.8942,-86.2816
What is your gender and level of education?,Noncollege graduate men,0.29,61,38,indiana,24,IN,11,39.8942,-86.2816
What is your gender and level of education?,College graduate men,0.18,57,38,indiana,24,IN,11,39.8942,-86.2816
What is your gender and level of education?,Noncollege graduate women,0.38,60,38,indiana,24,IN,11,39.8942,-86.2816
What is your gender and level of education?,College graduate women,0.14,40,56,indiana,24,IN,11,39.8942,-86.2816
What is your gender and level of education?,All others,0.01,,,indiana,24,IN,11,39.8942,-86.2816
What is your racial or ethnic heritage and level of education?,White noncollege,0.58,66,32,indiana,25,IN,11,39.8942,-86.2816
What is your racial or ethnic heritage and level of education?,White college,0.29,51,44,indiana,25,IN,11,39.8942,-86.2816
What is your racial or ethnic heritage and level of education?,Nonwhite noncollege,0.1,26,73,indiana,25,IN,11,39.8942,-86.2816
What is your racial or ethnic heritage and level of education?,Nonwhite college,0.03,29,69,indiana,25,IN,11,39.8942,-86.2816
What is your age and education level?,Noncollege 18-44,0.22,54,44,indiana,26,IN,11,39.8942,-86.2816
What is your age and education level?,College 18-44,0.14,45,51,indiana,26,IN,11,39.8942,-86.2816
What is your age and education level?,College 45+,0.45,64,35,indiana,26,IN,11,39.8942,-86.2816
What is your age and education level?,Noncollege 45+,0.18,52,43,indiana,26,IN,11,39.8942,-86.2816
Which of the following best describes the area where you live?,Urban,0.17,42,57,indiana,27,IN,11,39.8942,-86.2816
Which of the following best describes the area where you live?,Suburban,0.38,53,43,indiana,27,IN,11,39.8942,-86.2816
Which of the following best describes the area where you live?,Small town or rural,0.45,65,33,indiana,27,IN,11,39.8942,-86.2816
What is your gender? And the size of the place where you live?,Urban men,0.09,49,50,indiana,28,IN,11,39.8942,-86.2816
What is your gender? And the size of the place where you live?,Suburban men,0.19,56,39,indiana,28,IN,11,39.8942,-86.2816
What is your gender? And the size of the place where you live?,Small town/Rural men,0.2,67,31,indiana,28,IN,11,39.8942,-86.2816
What is your gender? And the size of the place where you live?,Urban women,0.08,35,63,indiana,28,IN,11,39.8942,-86.2816
What is your gender? And the size of the place where you live?,Suburban women,0.19,51,46,indiana,28,IN,11,39.8942,-86.2816
What is your gender? And the size of the place where you live?,Small town or rural women,0.25,64,34,indiana,28,IN,11,39.8942,-86.2816
What is your gender? And the size of the place where you live?,All others,0.01,,,indiana,28,IN,11,39.8942,-86.2816
What is your racial or ethnic heritage? And the size of the place where you live?,White urban,0.12,51,47,indiana,29,IN,11,39.8942,-86.2816
What is your racial or ethnic heritage? And the size of the place where you live?,White suburban,0.32,57,39,indiana,29,IN,11,39.8942,-86.2816
What is your racial or ethnic heritage? And the size of the place where you live?,White small town or rural,0.42,68,31,indiana,29,IN,11,39.8942,-86.2816
What is your racial or ethnic heritage? And the size of the place where you live?,Nonwhite urban,0.05,,,indiana,29,IN,11,39.8942,-86.2816
What is your racial or ethnic heritage? And the size of the place where you live?,Nonwhite suburban,0.05,28,71,indiana,29,IN,11,39.8942,-86.2816
What is your racial or ethnic heritage? And the size of the place where you live?,Nonwhite small town or rural,0.03,,,indiana,29,IN,11,39.8942,-86.2816
What describes the area where you live? And what is your level of education?,Urban college,0.05,36,60,indiana,30,IN,11,39.8942,-86.2816
What describes the area where you live? And what is your level of education?,Suburban college,0.16,47,47,indiana,30,IN,11,39.8942,-86.2816
What describes the area where you live? And what is your level of education?,Small town or rural college,0.11,57,39,indiana,30,IN,11,39.8942,-86.2816
What describes the area where you live? And what is your level of education?,Urban noncollege,0.12,44,55,indiana,30,IN,11,39.8942,-86.2816
What describes the area where you live? And what is your level of education?,Suburban noncollege,0.22,58,40,indiana,30,IN,11,39.8942,-86.2816
What describes the area where you live? And what is your level of education?,Small town or rural noncollege,0.34,68,31,indiana,30,IN,11,39.8942,-86.2816
"Do you or does any other member of your household own a handgun, rifle, shotgun, or any other kind of firearm?",Gun in household,0.47,71,26,indiana,31,IN,11,39.8942,-86.2816
"Do you or does any other member of your household own a handgun, rifle, shotgun, or any other kind of firearm?",No gun in household,0.53,48,49,indiana,31,IN,11,39.8942,-86.2816
"Have you, or has any member of your household, ever served in the U.S. military?",Veteran household,0.28,65,32,indiana,32,IN,11,39.8942,-86.2816
"Have you, or has any member of your household, ever served in the U.S. military?",Nonveteran household,0.72,56,40,indiana,32,IN,11,39.8942,-86.2816
Which best describes your family's financial situation? Are you...,Getting ahead,0.14,,,indiana,33,IN,11,39.8942,-86.2816
Which best describes your family's financial situation? Are you...,Holding steady,0.64,55,43,indiana,33,IN,11,39.8942,-86.2816
Which best describes your family's financial situation? Are you...,Falling behind,0.22,39,59,indiana,33,IN,11,39.8942,-86.2816
How serious a problem is racism in U.S. society?,Very serious,0.4,25,73,indiana,11,IN,11,39.8942,-86.2816
How serious a problem is racism in U.S. society?,Less serious,0.59,78,19,indiana,11,IN,11,39.8942,-86.2816
How serious a problem is racism in policing?,Very serious,0.38,23,75,indiana,12,IN,11,39.8942,-86.2816
How serious a problem is racism in policing?,Less serious,0.59,78,19,indiana,12,IN,11,39.8942,-86.2816
"In general, would you say police in this country are too tough, not tough enough or about right in handling of crime?",Too tough,0.31,27,71,indiana,34,IN,11,39.8942,-86.2816
"In general, would you say police in this country are too tough, not tough enough or about right in handling of crime?",Not tough enough,0.24,77,21,indiana,34,IN,11,39.8942,-86.2816
"In general, would you say police in this country are too tough, not tough enough or about right in handling of crime?",About right,0.44,68,29,indiana,34,IN,11,39.8942,-86.2816
Which best describes your feelings about the way the federal government is working?,Enthusiastic or satisfied,0.34,85,13,indiana,35,IN,11,39.8942,-86.2816
Which best describes your feelings about the way the federal government is working?,Dissatisfied or angry,0.66,39,59,indiana,35,IN,11,39.8942,-86.2816
