q_id,question,choices,pct_voters,Trump,Biden,state
68,"Regardless of who you support, would you say Joe Biden or Donald Trump is better able to handle the economy?",Neither,0.04,19,63,iowa
69,"Regardless of whom you support, would you say Joe Biden or Donald Trump is better able to handle the coronavirus pandemic?",Joe Biden,0.45,5,94,iowa
69,"Regardless of whom you support, would you say Joe Biden or Donald Trump is better able to handle the coronavirus pandemic?",Donald Trump,0.4,98,1,iowa
69,"Regardless of whom you support, would you say Joe Biden or Donald Trump is better able to handle the coronavirus pandemic?",Both equally,0.07,87,10,iowa
69,"Regardless of whom you support, would you say Joe Biden or Donald Trump is better able to handle the coronavirus pandemic?",Neither,0.08,73,16,iowa
70,"Regardless of who you support, would you say Joe Biden or Donald Trump is better able to handle policing and criminal justice?",Joe Biden,0.4,2,98,iowa
70,"Regardless of who you support, would you say Joe Biden or Donald Trump is better able to handle policing and criminal justice?",Donald Trump,0.48,97,2,iowa
70,"Regardless of who you support, would you say Joe Biden or Donald Trump is better able to handle policing and criminal justice?",Both equally,0.06,58,37,iowa
70,"Regardless of who you support, would you say Joe Biden or Donald Trump is better able to handle policing and criminal justice?",Neither,0.06,36,49,iowa
71,"Regardless of who you support, would you say Joe Biden or Donald Trump is better able to handle Supreme Court nominations?",Joe Biden,0.37,1,99,iowa
71,"Regardless of who you support, would you say Joe Biden or Donald Trump is better able to handle Supreme Court nominations?",Donald Trump,0.48,97,2,iowa
71,"Regardless of who you support, would you say Joe Biden or Donald Trump is better able to handle Supreme Court nominations?",Both equally,0.09,48,48,iowa
71,"Regardless of who you support, would you say Joe Biden or Donald Trump is better able to handle Supreme Court nominations?",Neither,0.05,27,59,iowa
72,"Regardless of who you support, would you say Joe Biden or Donald Trump is better able to handle international trade?",Joe Biden,0.37,1,98,iowa
72,"Regardless of who you support, would you say Joe Biden or Donald Trump is better able to handle international trade?",Donald Trump,0.53,94,4,iowa
72,"Regardless of who you support, would you say Joe Biden or Donald Trump is better able to handle international trade?",Both equally,0.06,31,64,iowa
72,"Regardless of who you support, would you say Joe Biden or Donald Trump is better able to handle international trade?",Neither,0.04,27,55,iowa
73,"Regardless of who you support, would you say Joe Biden or Donald Trump is better able to handle energy policy?",Joe Biden,0.43,5,94,iowa
73,"Regardless of who you support, would you say Joe Biden or Donald Trump is better able to handle energy policy?",Donald Trump,0.45,98,1,iowa
73,"Regardless of who you support, would you say Joe Biden or Donald Trump is better able to handle energy policy?",Both equally,0.07,73,25,iowa
73,"Regardless of who you support, would you say Joe Biden or Donald Trump is better able to handle energy policy?",Neither,0.05,48,34,iowa
74,Do you approve or disapprove of the way Donald Trump has handled the coronavirus pandemic?,Approve,0.51,97,2,iowa
74,Do you approve or disapprove of the way Donald Trump has handled the coronavirus pandemic?,Disapprove,0.49,8,90,iowa
75,"Do you approve or disapprove of the way Dr. Anthony Fauci, the director of the National Institute of Allergy and Infectious Diseases, has handled the coronavirus pandemic?",Approve,0.73,41,58,iowa
75,"Do you approve or disapprove of the way Dr. Anthony Fauci, the director of the National Institute of Allergy and Infectious Diseases, has handled the coronavirus pandemic?",Disapprove,0.26,87,11,iowa
76,Do you have a favorable or unfavorable opinion of Joe Biden?,Very favorable,0.24,1,99,iowa
76,Do you have a favorable or unfavorable opinion of Joe Biden?,Somewhat favorable,0.17,3,96,iowa
76,Do you have a favorable or unfavorable opinion of Joe Biden?,Somewhat unfavorable,0.13,,,iowa
76,Do you have a favorable or unfavorable opinion of Joe Biden?,Very unfavorable,0.46,99,,iowa
76,Do you have a favorable or unfavorable opinion of Joe Biden?,Do not know enough to say,0,,,iowa
77,Do you have a favorable or unfavorable opinion of Donald Trump?,Very favorable,0.35,99,1,iowa
77,Do you have a favorable or unfavorable opinion of Donald Trump?,Somewhat favorable,0.19,,,iowa
77,Do you have a favorable or unfavorable opinion of Donald Trump?,Somewhat unfavorable,0.05,,,iowa
77,Do you have a favorable or unfavorable opinion of Donald Trump?,Very unfavorable,0.4,1,97,iowa
77,Do you have a favorable or unfavorable opinion of Donald Trump?,Do not know enough to say,0,,,iowa
77,Do you have a favorable or unfavorable opinion of Donald Trump?,Favorable view of Trump and Biden,0.02,,,iowa
78,Do you have a favorable or unfavorable opinion of Donald Trump? And Joe Biden?,"Favorable view of Trump, unfavorable view of Biden",0.53,99,,iowa
78,Do you have a favorable or unfavorable opinion of Donald Trump? And Joe Biden?,"Favorable view of Biden, unfavorable view of Trump",0.39,,99,iowa
78,Do you have a favorable or unfavorable opinion of Donald Trump? And Joe Biden?,Unfavorable view of Trump and Biden,0.06,,,iowa
79,Do you have a favorable or unfavorable opinion of Kamala Harris?,Very favorable,0.24,1,99,iowa
79,Do you have a favorable or unfavorable opinion of Kamala Harris?,Somewhat favorable,0.13,3,96,iowa
79,Do you have a favorable or unfavorable opinion of Kamala Harris?,Somewhat unfavorable,0.06,,,iowa
79,Do you have a favorable or unfavorable opinion of Kamala Harris?,Very unfavorable,0.5,97,2,iowa
79,Do you have a favorable or unfavorable opinion of Kamala Harris?,Do not know enough to say,0.06,,,iowa
80,Do you have a favorable or unfavorable opinion of Mike Pence?,Very favorable,0.4,98,2,iowa
80,Do you have a favorable or unfavorable opinion of Mike Pence?,Somewhat favorable,0.13,,,iowa
80,Do you have a favorable or unfavorable opinion of Mike Pence?,Somewhat unfavorable,0.11,,,iowa
80,Do you have a favorable or unfavorable opinion of Mike Pence?,Very unfavorable,0.32,4,94,iowa
80,Do you have a favorable or unfavorable opinion of Mike Pence?,Do not know enough to say,0.04,,,iowa
81,Do you have a favorable or unfavorable opinion of the Republican Party?,Very favorable,0.27,,,iowa
81,Do you have a favorable or unfavorable opinion of the Republican Party?,Somewhat favorable,0.28,95,4,iowa
81,Do you have a favorable or unfavorable opinion of the Republican Party?,Somewhat unfavorable,0.12,,,iowa
81,Do you have a favorable or unfavorable opinion of the Republican Party?,Very unfavorable,0.32,3,95,iowa
81,Do you have a favorable or unfavorable opinion of the Republican Party?,Do not know enough to say,0.01,,,iowa
82,"Do you think Donald Trump has changed the way Washington works for the better, for the worse or not at all?",For the better,0.44,97,2,iowa
82,"Do you think Donald Trump has changed the way Washington works for the better, for the worse or not at all?",For the worse,0.43,3,96,iowa
82,"Do you think Donald Trump has changed the way Washington works for the better, for the worse or not at all?",Has not changed Washington,0.13,67,26,iowa
83,What is your age?,18-44,0.36,49,48,iowa
83,What is your age?,45+,0.64,55,44,iowa
84,What is your age?,18-24,0.09,47,51,iowa
84,What is your age?,25-29,0.05,48,46,iowa
84,What is your age?,30-39,0.13,44,53,iowa
84,What is your age?,40-49,0.15,59,39,iowa
84,What is your age?,50-64,0.28,53,45,iowa
84,What is your age?,65+,0.3,57,42,iowa
85,How old are you? And what is your gender?,18-29 men,0.07,63,33,iowa
85,How old are you? And what is your gender?,18-29 women,0.07,34,64,iowa
85,How old are you? And what is your gender?,30-44 men,0.11,47,50,iowa
85,How old are you? And what is your gender?,30-44 women,0.1,54,43,iowa
85,How old are you? And what is your gender?,45-64 men,0.16,59,40,iowa
85,How old are you? And what is your gender?,45-64 women,0.18,50,49,iowa
85,How old are you? And what is your gender?,65+ men,0.14,59,40,iowa
85,How old are you? And what is your gender?,65+ women,0.16,55,44,iowa
85,How old are you? And what is your gender?,All others,0.01,,,iowa
86,How old are you? And what is your gender?,18-44 men,0.18,54,43,iowa
86,How old are you? And what is your gender?,18-44 women,0.17,46,52,iowa
86,How old are you? And what is your gender?,45+ men,0.3,59,40,iowa
86,How old are you? And what is your gender?,45+ women,0.34,52,47,iowa
86,How old are you? And what is your gender?,All others,0.01,,,iowa
87,What is your racial or ethnic heritage?,White,0.94,54,44,iowa
87,What is your racial or ethnic heritage?,African-American or Black,0.02,,,iowa
87,What is your racial or ethnic heritage?,Latino or Hispanic,0.02,,,iowa
87,What is your racial or ethnic heritage?,Asian,0,,,iowa
87,What is your racial or ethnic heritage?,"American Indian, Native American or Alaska Native",0,,,iowa
87,What is your racial or ethnic heritage?,Native Hawaiian or Other Pacific Islander,0,,,iowa
87,What is your racial or ethnic heritage?,Other,0.01,,,iowa
88,What is your racial or ethnic heritage?,White,0.94,54,44,iowa
88,What is your racial or ethnic heritage?,African-American or Black,0.02,,,iowa
88,What is your racial or ethnic heritage?,Latino or Hispanic,0.02,,,iowa
88,What is your racial or ethnic heritage?,Other,0.02,66,29,iowa
89,What is your racial or ethnic heritage?,White,0.94,54,44,iowa
89,What is your racial or ethnic heritage?,Nonwhite,0.06,37,60,iowa
90,What is your racial or ethnic heritage? And what is your gender?,White men,0.46,58,40,iowa
90,What is your racial or ethnic heritage? And what is your gender?,White women,0.49,51,47,iowa
90,What is your racial or ethnic heritage? And what is your gender?,Black men,0.01,,,iowa
90,What is your racial or ethnic heritage? And what is your gender?,Black women,0.01,,,iowa
90,What is your racial or ethnic heritage? And what is your gender?,Latino men,0.01,,,iowa
90,What is your racial or ethnic heritage? And what is your gender?,Latino women,0.01,,,iowa
90,What is your racial or ethnic heritage? And what is your gender?,All others,0.02,66,29,iowa
91,What is your racial or ethnic heritage? And what is your gender?,White men,0.45,58,40,iowa
91,What is your racial or ethnic heritage? And what is your gender?,White women,0.49,51,47,iowa
91,What is your racial or ethnic heritage? And what is your gender?,Nonwhite men,0.03,,,iowa
91,What is your racial or ethnic heritage? And what is your gender?,Nonwhite women,0.03,33,64,iowa
91,What is your racial or ethnic heritage? And what is your gender?,All others,0.01,,,iowa
92,What is your racial or ethnic heritage? And how old are you?,White 18-29,0.13,50,47,iowa
92,What is your racial or ethnic heritage? And how old are you?,White 30-44,0.2,51,46,iowa
92,What is your racial or ethnic heritage? And how old are you?,White 45-64,0.33,55,44,iowa
92,What is your racial or ethnic heritage? And how old are you?,White 65+,0.29,57,42,iowa
92,What is your racial or ethnic heritage? And how old are you?,Nonwhite 18-29,0.02,,,iowa
92,What is your racial or ethnic heritage? And how old are you?,Nonwhite 30-44,0.02,,,iowa
92,What is your racial or ethnic heritage? And how old are you?,Nonwhite 45-64,0.01,,,iowa
92,What is your racial or ethnic heritage? And how old are you?,Nonwhite 65+,0.01,,,iowa
93,What is your racial or ethnic heritage? And how old are you?,White 18-44,0.33,51,47,iowa
93,What is your racial or ethnic heritage? And how old are you?,White 45+,0.62,56,43,iowa
93,What is your racial or ethnic heritage? And how old are you?,Black 18-44,0.01,,,iowa
93,What is your racial or ethnic heritage? And how old are you?,Black 45+,0.01,,,iowa
93,What is your racial or ethnic heritage? And how old are you?,Latino 18-44,0.01,,,iowa
93,What is your racial or ethnic heritage? And how old are you?,Latino 45+,0.01,,,iowa
93,What is your racial or ethnic heritage? And how old are you?,All other races,0.02,66,29,iowa
94,What is your racial or ethnic heritage? And how old are you?,White 18-44,0.33,51,47,iowa
94,What is your racial or ethnic heritage? And how old are you?,White 45+,0.62,56,43,iowa
94,What is your racial or ethnic heritage? And how old are you?,Nonwhite 18-44,0.03,37,60,iowa
94,What is your racial or ethnic heritage? And how old are you?,Nonwhite 45+,0.02,,,iowa
95,"What is your race, age and gender?",White 18-44 men,0.16,55,41,iowa
95,"What is your race, age and gender?",White 18-44 women,0.16,47,51,iowa
95,"What is your race, age and gender?",White 45+ men,0.29,59,39,iowa
95,"What is your race, age and gender?",White 45+ women,0.33,53,46,iowa
95,"What is your race, age and gender?",Nonwhite 18-44 men,0.02,,,iowa
95,"What is your race, age and gender?",Nonwhite 18-44 women,0.01,,,iowa
95,"What is your race, age and gender?",Nonwhite 45+ men,0.01,,,iowa
95,"What is your race, age and gender?",Non-hite 45+ women,0.01,,,iowa
95,"What is your race, age and gender?",All others,0.01,,,iowa
95,"What is your race, age and gender?",Mexican,0.02,,,iowa
95,"What is your race, age and gender?",Puerto Rican,0,,,iowa
95,"What is your race, age and gender?",Cuban,0,,,iowa
95,"What is your race, age and gender?",Dominican,0,,,iowa
95,"What is your race, age and gender?",Salvadoran,0,,,iowa
95,"What is your race, age and gender?",Other Central American,0,,,iowa
95,"What is your race, age and gender?",South American,0,,,iowa
95,"What is your race, age and gender?",Spanish,0,,,iowa
95,"What is your race, age and gender?",Other country,0,,,iowa
96,Which of the following best describes you and your family’s heritage?,Not Hispanic,0.98,54,45,iowa
96,Which of the following best describes you and your family’s heritage?,Mexican,0.02,,,iowa
96,Which of the following best describes you and your family’s heritage?,Puerto Rican,0,,,iowa
96,Which of the following best describes you and your family’s heritage?,Cuban,0,,,iowa
96,Which of the following best describes you and your family’s heritage?,Central American,0,,,iowa
96,Which of the following best describes you and your family’s heritage?,South American,0,,,iowa
96,Which of the following best describes you and your family’s heritage?,Other,0,,,iowa
97,Which of the following best describes you and your family’s heritage?,Not Hispanic,0.98,54,45,iowa
98,"What is your present religion, if any?",Protestant/Other Christian,0.53,65,33,iowa
98,"What is your present religion, if any?",Catholic,0.2,53,46,iowa
98,"What is your present religion, if any?",Other,0.09,45,52,iowa
98,"What is your present religion, if any?",Unaffiliated,0.18,23,75,iowa
99,"What is your present religion, if any?",White Protestant/Other Christian,0.5,66,32,iowa
99,"What is your present religion, if any?",White Catholic,0.19,54,45,iowa
99,"What is your present religion, if any?",White other,0.08,47,51,iowa
99,"What is your present religion, if any?",White no religion,0.17,24,75,iowa
99,"What is your present religion, if any?",Nonwhites,0.06,37,60,iowa
100,Would you describe yourself as a white evangelical or white born-again Christian?,White evangelical/white born-again Christians,0.26,76,21,iowa
100,Would you describe yourself as a white evangelical or white born-again Christian?,All others,0.74,49,50,iowa
101,"How often, if at all, do you attend religious services?",Never,0.28,38,59,iowa
101,"How often, if at all, do you attend religious services?",A few times a year or less,0.31,50,49,iowa
101,"How often, if at all, do you attend religious services?",About once a month,0.05,,,iowa
101,"How often, if at all, do you attend religious services?",A few times a month,0.09,,,iowa
101,"How often, if at all, do you attend religious services?",Once a week or more,0.27,74,24,iowa
102,"How often, if at all, do you attend religious services?",At least monthly,0.41,71,26,iowa
102,"How often, if at all, do you attend religious services?",Less often,0.59,44,54,iowa
103,Are you:,Married,0.67,61,37,iowa
103,Are you:,Not married,0.33,45,54,iowa
104,Are you married? What is your gender?,Married men,0.32,60,37,iowa
104,Are you married? What is your gender?,Married women,0.35,62,36,iowa
104,Are you married? What is your gender?,Not married men,0.14,,,iowa
104,Are you married? What is your gender?,Not married women,0.2,44,55,iowa
105,Are you the mother or father of any children under the age of 18? ,Moms,0.12,54,44,iowa
105,Are you the mother or father of any children under the age of 18? ,Dads,0.12,58,40,iowa
105,Are you the mother or father of any children under the age of 18? ,Not a parent,0.75,52,46,iowa
106,Which best describes your level of education?,No college degree,0.66,57,42,iowa
106,Which best describes your level of education?,College degree,0.34,46,51,iowa
107,What is your gender and level of education?,Noncollege graduate men,0.3,60,39,iowa
107,What is your gender and level of education?,College graduate men,0.18,52,45,iowa
107,What is your gender and level of education?,Noncollege graduate women,0.36,55,44,iowa
107,What is your gender and level of education?,College graduate women,0.15,39,59,iowa
107,What is your gender and level of education?,All others,0.01,,,iowa
108,What is your level of education and racial or ethnic heritage?,White noncollege,0.62,58,40,iowa
108,What is your level of education and racial or ethnic heritage?,White college,0.32,47,51,iowa
108,What is your level of education and racial or ethnic heritage?,Black noncollege,0.01,,,iowa
108,What is your level of education and racial or ethnic heritage?,Black college,0.01,,,iowa
108,What is your level of education and racial or ethnic heritage?,Latino noncollege,0.02,,,iowa
108,What is your level of education and racial or ethnic heritage?,Latino college,0.01,,,iowa
108,What is your level of education and racial or ethnic heritage?,All others,0.02,66,29,iowa
109,What is your racial or ethnic heritage and level of education?,White noncollege,0.62,58,40,iowa
109,What is your racial or ethnic heritage and level of education?,White college,0.32,47,51,iowa
109,What is your racial or ethnic heritage and level of education?,Nonwhite noncollege,0.04,35,62,iowa
109,What is your racial or ethnic heritage and level of education?,Nonwhite college,0.02,,,iowa
110,"What is your racial or ethnic heritage, level of education and gender?",White noncollege men,0.28,61,37,iowa
110,"What is your racial or ethnic heritage, level of education and gender?",White noncollege women,0.34,56,43,iowa
110,"What is your racial or ethnic heritage, level of education and gender?",White college men,0.17,52,45,iowa
110,"What is your racial or ethnic heritage, level of education and gender?",White college women,0.15,40,58,iowa
110,"What is your racial or ethnic heritage, level of education and gender?",Nonwhite noncollege men,0.02,,,iowa
110,"What is your racial or ethnic heritage, level of education and gender?",Nonwhite noncollege women,0.02,,,iowa
110,"What is your racial or ethnic heritage, level of education and gender?",Nonwhite college men,0.01,,,iowa
110,"What is your racial or ethnic heritage, level of education and gender?",Nonwhite college women,0.01,,,iowa
110,"What is your racial or ethnic heritage, level of education and gender?",All others,0.01,,,iowa
111,What is your age and education level?,Noncollege 18-44,0.23,54,43,iowa
111,What is your age and education level?,College 18-44,0.13,41,56,iowa
111,What is your age and education level?,College 45+,0.44,58,41,iowa
111,What is your age and education level?,Noncollege 45+,0.2,50,49,iowa
112,What was your total household income in 2019?,"Under $50,000",0.35,48,51,iowa
112,What was your total household income in 2019?,"$50,000-$99,999",0.44,58,40,iowa
112,What was your total household income in 2019?,"$100,000 or more",0.21,52,47,iowa
113,What was your total household income in 2019?,"Under $50,000",0.35,48,51,iowa
113,What was your total household income in 2019?,"$50,000 or more",0.65,56,42,iowa
114,Which of the following best describes the area where you live?,Urban,0.17,36,62,iowa
114,Which of the following best describes the area where you live?,Suburban,0.27,48,50,iowa
114,Which of the following best describes the area where you live?,Small town or rural,0.56,61,38,iowa
115,What is your gender? And the size of the place where you live?,Urban men,0.08,39,58,iowa
115,What is your gender? And the size of the place where you live?,Suburban men,0.13,54,44,iowa
115,What is your gender? And the size of the place where you live?,Small town/Rural men,0.27,64,35,iowa
115,What is your gender? And the size of the place where you live?,Urban women,0.08,34,65,iowa
115,What is your gender? And the size of the place where you live?,Suburban women,0.14,44,54,iowa
115,What is your gender? And the size of the place where you live?,Small town or rural women,0.29,58,40,iowa
115,What is your gender? And the size of the place where you live?,All others,0.01,,,iowa
116,What is your racial or ethnic heritage? And the size of the place where you live?,White urban,0.14,39,59,iowa
116,What is your racial or ethnic heritage? And the size of the place where you live?,White suburban,0.26,49,49,iowa
116,What is your racial or ethnic heritage? And the size of the place where you live?,White small town or rural,0.54,61,38,iowa
116,What is your racial or ethnic heritage? And the size of the place where you live?,Nonwhite urban,0.02,,,iowa
116,What is your racial or ethnic heritage? And the size of the place where you live?,Nonwhite suburban,0.02,,,iowa
116,What is your racial or ethnic heritage? And the size of the place where you live?,Nonwhite small town or rural,0.02,,,iowa
117,What describes the area where you live? And what is your level of education?,Urban college,0.06,35,62,iowa
117,What describes the area where you live? And what is your level of education?,Suburban college,0.12,43,55,iowa
117,What describes the area where you live? And what is your level of education?,Small town or rural college,0.16,53,45,iowa
117,What describes the area where you live? And what is your level of education?,Urban noncollege,0.11,37,62,iowa
117,What describes the area where you live? And what is your level of education?,Suburban noncollege,0.15,53,45,iowa
117,What describes the area where you live? And what is your level of education?,Small town or rural noncollege,0.41,64,35,iowa
118,"Do you consider yourself to be a liberal, moderate, or conservative?",Liberal,0.24,6,93,iowa
118,"Do you consider yourself to be a liberal, moderate, or conservative?",Moderate,0.32,36,61,iowa
118,"Do you consider yourself to be a liberal, moderate, or conservative?",Conservative,0.44,91,7,iowa
119,Which one of the following statements best describes you?,Voted in 2018 midterm election,0.76,53,46,iowa
119,Which one of the following statements best describes you?,Did not vote in 2018 midterm election,0.24,54,43,iowa
120,"In the 2018 election for United States House of Representatives, did you vote for the Democratic candidate, the Republican candidate, or someone else?",Democratic candidate for Congress,0.33,5,95,iowa
120,"In the 2018 election for United States House of Representatives, did you vote for the Democratic candidate, the Republican candidate, or someone else?",Republican candidate for Congress,0.41,93,6,iowa
120,"In the 2018 election for United States House of Representatives, did you vote for the Democratic candidate, the Republican candidate, or someone else?",Someone else,0.02,,,iowa
120,"In the 2018 election for United States House of Representatives, did you vote for the Democratic candidate, the Republican candidate, or someone else?",Did not vote,0.25,54,43,iowa
121,Which one of the following statements best describes you?,Voted in 2016 presidential election,0.88,54,44,iowa
121,Which one of the following statements best describes you?,Did not vote in 2016 presidential election,0.12,46,52,iowa
122,"What is your political party? (Leaners included.) Do you consider yourself to be a liberal, moderate, or conservative?",Liberal Democrat,0.22,1,99,iowa
122,"What is your political party? (Leaners included.) Do you consider yourself to be a liberal, moderate, or conservative?",Moderate or conservative Democrat,0.18,5,94,iowa
122,"What is your political party? (Leaners included.) Do you consider yourself to be a liberal, moderate, or conservative?",Independent,0.05,32,53,iowa
122,"What is your political party? (Leaners included.) Do you consider yourself to be a liberal, moderate, or conservative?",Moderate or liberal Republican,0.13,80,17,iowa
122,"What is your political party? (Leaners included.) Do you consider yourself to be a liberal, moderate, or conservative?",Conservative Republican,0.41,96,3,iowa
123,What is your political party? (Leaners included.) What is your gender? ,Democratic women,0.23,3,97,iowa
123,What is your political party? (Leaners included.) What is your gender? ,Democratic men,0.16,3,97,iowa
123,What is your political party? (Leaners included.) What is your gender? ,Republican women,0.26,94,5,iowa
123,What is your political party? (Leaners included.) What is your gender? ,Republican men,0.29,90,8,iowa
123,What is your political party? (Leaners included.) What is your gender? ,All others,0.06,31,56,iowa
124,"Do you or does any other member of your household own a handgun, rifle, shotgun, or any other kind of firearm?","Gun owner, self",0.35,67,31,iowa
124,"Do you or does any other member of your household own a handgun, rifle, shotgun, or any other kind of firearm?",Gun in household,0.15,,,iowa
124,"Do you or does any other member of your household own a handgun, rifle, shotgun, or any other kind of firearm?",No,0.5,46,53,iowa
125,"Do you or does any other member of your household own a handgun, rifle, shotgun, or any other kind of firearm?",Gun in household,0.5,65,33,iowa
125,"Do you or does any other member of your household own a handgun, rifle, shotgun, or any other kind of firearm?",No gun in household,0.5,46,53,iowa
126,"Are you, or is anyone in your household, a member of a labor union?","Union member, self",0.04,,,iowa
126,"Are you, or is anyone in your household, a member of a labor union?",Union member in household,0.06,,,iowa
126,"Are you, or is anyone in your household, a member of a labor union?",No,0.9,54,44,iowa
127,"Are you, or is anyone in your household, a member of a labor union?",Union household,0.1,,,iowa
127,"Are you, or is anyone in your household, a member of a labor union?",Nonunion household,0.9,54,44,iowa
128,"Have you, or has any member of your household, ever served in the U.S. military?",Veteran household,0.22,66,34,iowa
128,"Have you, or has any member of your household, ever served in the U.S. military?",Nonveteran household,0.78,54,44,iowa
129,Do you have a favorable or unfavorable opinion of the Democratic Party?,Very favorable,0.18,1,99,iowa
129,Do you have a favorable or unfavorable opinion of the Democratic Party?,Somewhat favorable,0.18,4,95,iowa
129,Do you have a favorable or unfavorable opinion of the Democratic Party?,Somewhat unfavorable,0.18,,,iowa
129,Do you have a favorable or unfavorable opinion of the Democratic Party?,Very unfavorable,0.45,96,3,iowa
129,Do you have a favorable or unfavorable opinion of the Democratic Party?,Do not know enough to say,0.01,,,iowa
130,Do you have a favorable or unfavorable opinion of Joe Biden? And the Democratic Party?,Favorable view of Dem Party and Biden,0.35,1,98,iowa
130,Do you have a favorable or unfavorable opinion of Joe Biden? And the Democratic Party?,"Favorable view of Dem Party, unfavorable view of Biden",0.02,,,iowa
130,Do you have a favorable or unfavorable opinion of Joe Biden? And the Democratic Party?,"Favorable view of Biden, unfavorable view of Dem Party",0.05,,,iowa
130,Do you have a favorable or unfavorable opinion of Joe Biden? And the Democratic Party?,Unfavorable view of Dem Party and Biden,0.58,96,2,iowa
131,Do you have a favorable or unfavorable opinion of Donald Trump? And the Republican Party?,Favorable view of Rep Party and Trump,0.53,98,2,iowa
131,Do you have a favorable or unfavorable opinion of Donald Trump? And the Republican Party?,"Favorable view of Rep Party, unfavorable view of Trump",0.02,,,iowa
131,Do you have a favorable or unfavorable opinion of Donald Trump? And the Republican Party?,"Favorable view of Trump, unfavorable view of Rep Party",0.02,,,iowa
131,Do you have a favorable or unfavorable opinion of Donald Trump? And the Republican Party?,Unfavorable view of Rep Party and Trump,0.43,3,94,iowa
131,Do you have a favorable or unfavorable opinion of Donald Trump? And the Republican Party?,Favorable view of both parties,0.02,,,iowa
132,What are your views on the Republican and the Democratic parties?,"Favorable view of Rep Party, unfavorable view of Dem Party",0.54,98,1,iowa
132,What are your views on the Republican and the Democratic parties?,"Favorable view of Dem Party, unfavorable view of Rep Party",0.34,1,99,iowa
132,What are your views on the Republican and the Democratic parties?,Unfavorable view of parties,0.1,,,iowa
133,Which best describes your family's financial situation? Are you...,Getting ahead,0.15,,,iowa
133,Which best describes your family's financial situation? Are you...,Holding steady,0.67,53,45,iowa
133,Which best describes your family's financial situation? Are you...,Falling behind,0.17,,,iowa
134,Do you think the condition of the nation’s economy is:,Excellent,0.06,,,iowa
134,Do you think the condition of the nation’s economy is:,Good,0.45,81,17,iowa
134,Do you think the condition of the nation’s economy is:,Not so good,0.38,25,73,iowa
134,Do you think the condition of the nation’s economy is:,Poor,0.1,11,87,iowa
134,Do you think the condition of the nation’s economy is:,Completely under control,0.03,,,iowa
135,Do you think the coronavirus in the United States is:,Mostly under control,0.15,99,,iowa
135,Do you think the coronavirus in the United States is:,Somewhat under control,0.31,84,14,iowa
135,Do you think the coronavirus in the United States is:,Not at all under control,0.5,18,81,iowa
136,Do you think the coronavirus in the United States is:,Completely/Mostly under control,0.18,98,1,iowa
136,Do you think the coronavirus in the United States is:,Somewhat under control,0.31,84,14,iowa
136,Do you think the coronavirus in the United States is:,Not at all under control,0.5,18,81,iowa
137,Do you favor or oppose requiring people to wear masks when around other people outside of their homes?,Strongly favor,0.51,21,78,iowa
137,Do you favor or oppose requiring people to wear masks when around other people outside of their homes?,Somewhat favor,0.17,,,iowa
137,Do you favor or oppose requiring people to wear masks when around other people outside of their homes?,Somewhat oppose,0.11,,,iowa
137,Do you favor or oppose requiring people to wear masks when around other people outside of their homes?,Strongly oppose,0.18,,,iowa
138,"Overall, do you approve or disapprove of the way Donald Trump is handling his job as president?",Approve strongly,0.31,99,,iowa
138,"Overall, do you approve or disapprove of the way Donald Trump is handling his job as president?",Approve somewhat,0.17,,,iowa
138,"Overall, do you approve or disapprove of the way Donald Trump is handling his job as president?",Disapprove somewhat,0.06,,,iowa
138,"Overall, do you approve or disapprove of the way Donald Trump is handling his job as president?",Disapprove strongly,0.46,1,99,iowa
139,"Thinking about voting in this presidential election, how important to you were Supreme Court nominations?",The single most important factor,0.15,54,45,iowa
139,"Thinking about voting in this presidential election, how important to you were Supreme Court nominations?","An important factor, but not the most important",0.56,47,52,iowa
139,"Thinking about voting in this presidential election, how important to you were Supreme Court nominations?",A minor factor,0.18,58,38,iowa
139,"Thinking about voting in this presidential election, how important to you were Supreme Court nominations?",Not a factor,0.1,77,20,iowa
140,"Thinking about voting in this presidential election, how important to you were protests over police violence?",The single most important factor,0.15,62,37,iowa
140,"Thinking about voting in this presidential election, how important to you were protests over police violence?","An important factor, but not the most important",0.58,48,50,iowa
140,"Thinking about voting in this presidential election, how important to you were protests over police violence?",A minor factor,0.18,52,46,iowa
140,"Thinking about voting in this presidential election, how important to you were protests over police violence?",Not a factor,0.08,75,23,iowa
141,"Thinking about voting in this presidential election, how important to you was the federal government’s response to the coronavirus?",The single most important factor,0.32,21,79,iowa
141,"Thinking about voting in this presidential election, how important to you was the federal government’s response to the coronavirus?","An important factor, but not the most important",0.47,59,38,iowa
141,"Thinking about voting in this presidential election, how important to you was the federal government’s response to the coronavirus?",A minor factor,0.14,91,7,iowa
141,"Thinking about voting in this presidential election, how important to you was the federal government’s response to the coronavirus?",Not a factor,0.06,,,iowa
142,"Thinking about voting in this presidential election, how important to you was the economic downturn?",The single most important factor,0.21,69,29,iowa
142,"Thinking about voting in this presidential election, how important to you was the economic downturn?","An important factor, but not the most important",0.6,45,54,iowa
142,"Thinking about voting in this presidential election, how important to you was the economic downturn?",A minor factor,0.14,61,36,iowa
142,"Thinking about voting in this presidential election, how important to you was the economic downturn?",Not a factor,0.04,,,iowa
143,"Thinking about voting in this presidential election, how important to you was the economic downturn?",A factor,0.96,53,46,iowa
